Id,Burg,Province,Province Full Name,State,State Full Name,Culture,Religion,Population,X,Y,Latitude,Longitude,Elevation (ft),Temperature,Temperature likeness,Capital,Port,Citadel,Walls,Plaza,Temple,Shanty Town,Emblem,City Generator Link
53,Combetown,Kinerid,Kinerid Parish,Withamberia,Diocese of Withamberia,Kentian,Norwickism,5288,330.26,341.76,8.9,-42.66,52,100°F,Mecca,,,,,,temple,,{t1:gules;division:{division:perPale;t:argent;line:potentySinister};shield:heater},https://watabou.github.io/city-generator/?name=Combetown&population=5288&size=24&seed=8194174370053&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=1&walls=0&shantytown=0&gates=-1
54,Uxbrid,Forough,Forough Margrave,Milcesia,Duchy of Milcesia,Kentian,Norwickism,5231,220.5,357,7.62,-51.85,118,100°F,Mecca,,port,citadel,,,,,{t1:or;ordinaries:[{ordinary:chief;t:vert;line:engrailed}];charges:[{charge:crossMoline;t:or;p:abc;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Uxbrid&population=5231&size=24&seed=8194174370054&river=0&coast=1&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&sea=1.44
55,Torkhampsea,Dunsburia,Dunsburia County,Waria,Warian Empire,Westen,Norwickism,1075,433.3,651.68,-17.04,-34.04,13,99°F,Mecca,,,,,,,,{t1:argent;charges:[{charge:garb;t:or;p:jln;size:0.7}];shield:heater},https://watabou.github.io/village-generator/?pop=1075&name=&seed=8194174370055&width=1400&height=636&tags=dead+end%2Cuncultivated%2Cno+orchards%2Cno+square%2Cdense
56,Stotford,Noston,Noston County,Chawburia,Duchy of Chawburia,Kentian,Norwickism,2563,245,436.5,0.97,-49.8,52,102°F,Mecca,,port,,walls,,,,{t1:barry-argent-sable;division:{division:perCross;t:azure;line:straight};shield:heater},https://watabou.github.io/city-generator/?name=Stotford&population=2563&size=19&seed=8194174370056&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=true&plaza=0&temple=0&walls=1&shantytown=0&gates=-1&sea=1.19
57,Parkkaj'an,Skalen,Skalen Margrave,Sor'thaz,Kingdom of Sor'thaz,Aj'Snaga,Norwickism,1678,187.3,451.9,-0.32,-54.62,13,102°F,Mecca,,,citadel,,plaza,,,{t1:argent;ordinaries:[{ordinary:pale;t:gules;line:nebuly}];charges:[{charge:mullet6;t:argent;p:kn;size:0.7}];shield:fantasy1},https://watabou.github.io/city-generator/?name=Parkkaj%27an&population=1678&size=16&seed=8194174370057&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
58,Burmingley,Burmingley,Burmingley County,Swasings,Principality of Swasings,Westen,Norwickism,12923,969.89,628.6,-15.11,10.87,13,99°F,Mecca,,,citadel,walls,plaza,,,{t1:gules;charges:[{charge:lute;t:or;p:abc;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Burmingley&population=12923&size=34&seed=8194174370058&river=0&coast=0&farms=0&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
59,Srajasherri,Par'has,Par'has County,Sor'thaz,Kingdom of Sor'thaz,Aj'Snaga,Norwickism,3608,108.98,448.77,-0.06,-61.18,82,102°F,Mecca,,,citadel,,,,,{t1:sable;charges:[{charge:bugleHorn;t:argent;p:e;size:1.5}];shield:fantasy1},https://watabou.github.io/city-generator/?name=Srajasherri&population=3608&size=21&seed=8194174370059&river=1&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
60,Uzras,Par'has,Par'has County,Sor'thaz,Kingdom of Sor'thaz,Aj'Snaga,Norwickism,19437,120.73,485.27,-3.11,-60.2,161,102°F,Mecca,,,citadel,,plaza,,,{t1:sable;charges:[{charge:mascle;t:or;p:jlh;size:0.7}];shield:fantasy1},https://watabou.github.io/city-generator/?name=Uzras&population=19437&size=40&seed=8194174370060&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
61,Abersaber,Aberugheru,Aberugheru County,Afespia,Kingdom of Afespia,Keltan,Norwickism,3322,274.5,118,27.62,-47.33,13,81°F,Mogadishu,,port,citadel,walls,,,,{t1:azure;ordinaries:[{ordinary:fess;t:or;line:archedReversed}];charges:[{charge:tower;t:gules;p:e;size:0.7}];shield:vesicaPiscis},https://watabou.github.io/city-generator/?name=Abersaber&population=3322&size=20&seed=8194174370061&river=0&coast=1&farms=0&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1&sea=1.76
62,Bunar,Umunduzun,Umunduzun County,Ardg,Ardg Empire,Durinn,Durinn Pantheon,1741,1665.62,564.14,-9.71,69.1,2759,91°F,Mecca,,,citadel,,,,,{t1:sable;charges:[{charge:lozenge;t:or;p:e;size:1.5}];shield:erebor},https://watabou.github.io/city-generator/?name=Bunar&population=1741&size=16&seed=8194174370062&river=1&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
63,Sarac,Arbegria,Arbegria Deanery,Towcesland,Brotherhood of Towcesland,Keltan,Thetford Cult,1378,410.5,177.5,22.65,-35.95,52,88°F,Mecca,,port,citadel,walls,,temple,,{t1:barry-argent-sable-smaller;division:{division:perPale;t:azure;line:straight};ordinaries:[{ordinary:pileInBend;t:gules}];shield:vesicaPiscis},https://watabou.github.io/city-generator/?name=Sarac&population=1378&size=15&seed=8194174370063&river=0&coast=1&farms=0&citadel=1&urban_castle=0&hub=false&plaza=0&temple=1&walls=1&shantytown=0&gates=-1&sea=0.27
64,Bungay,Aptonland,Aptonland Seneschalty,Knutsdonia,Grand Duchy of Knutsdonia,Westen,Norwickism,24160,202.14,512.71,-5.41,-53.38,82,102°F,Mecca,,,,walls,,temple,shanty town,{t1:argent;division:{division:perPale;t:gules;line:bevilled};charges:[{charge:crossClechy;t:vert;p:p;size:0.7};{charge:armillarySphere;t:or;p:q;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Bungay&population=24160&size=43&seed=8194174370064&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=1&walls=1&shantytown=1&gates=-1
65,Hornterpor,New Winchbridia,New Winchbridia Colony,Seavedonia,Holy State of Seavedonia,Westen,Norwickism,4949,865.5,675.5,-19.03,2.13,13,99°F,Mecca,,port,,,,temple,,{t1:azure;division:{division:perChevron;t:argent;line:straight};charges:[{charge:inescutcheon;t:or;p:bdefh;size:0.4};{charge:crossTemplar;t:azure;p:bdefh;size:0.2}];shield:heater},https://watabou.github.io/city-generator/?name=Hornterpor&population=4949&size=24&seed=8194174370065&river=0&coast=1&farms=0&citadel=0&urban_castle=0&hub=false&plaza=0&temple=1&walls=0&shantytown=0&gates=-1&sea=0.73
66,Aberubin,Arbegria,Arbegria Deanery,Towcesland,Brotherhood of Towcesland,Keltan,Aberian Dissenters,12838,366.3,169.1,23.35,-39.64,30,88°F,Mecca,,,,walls,,temple,,{t1:azure;ordinaries:[{ordinary:chevron;t:argent}];charges:[{charge:mulletFaceted;t:argent;p:ach;size:0.5}];shield:vesicaPiscis},https://watabou.github.io/city-generator/?name=Aberubin&population=12838&size=34&seed=8194174370066&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=false&plaza=0&temple=1&walls=1&shantytown=0&gates=-1
67,Aberporth,Digionvele,Digionvele Earldom,Afespia,Kingdom of Afespia,Keltan,Norwickism,1657,22.85,286.17,13.55,-68.39,643,99°F,Mecca,,,citadel,walls,,,,{t1:argent;ordinaries:[{ordinary:terrace;t:azure;line:straight}];charges:[{charge:annulet;t:gules;p:abcdefgzi;size:0.3}];shield:vesicaPiscis},https://watabou.github.io/city-generator/?name=Aberporth&population=1657&size=16&seed=8194174370067&river=0&coast=0&farms=0&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1
68,Maringra,Guild,Guild Landgrave,Knutsdonia,Grand Duchy of Knutsdonia,Westen,Norwickism,28029,186.32,489.99,-3.51,-54.71,13,102°F,Mecca,,,citadel,walls,plaza,temple,shanty town,{t1:gules;division:{division:chevronny;t:argent};charges:[{charge:boat2;t:or;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Maringra&population=28029&size=46&seed=8194174370068&river=1&coast=0&farms=1&citadel=1&urban_castle=1&hub=true&plaza=1&temple=1&walls=1&shantytown=1&gates=-1
69,Tetrinch,Tetrinch,Tetrinch Parish,Seavedonia,Holy State of Seavedonia,Westen,Norwickism,8542,887.4,636.8,-15.79,3.97,13,99°F,Mecca,,,,,,temple,,{t1:sable;ordinaries:[{ordinary:pale;t:or;line:straight}];charges:[{charge:crossPatteeAlisee;t:sable;p:e;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Tetrinch&population=8542&size=29&seed=8194174370069&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=false&plaza=0&temple=1&walls=0&shantytown=0&gates=-1
70,Skej'jess,Skalen,Skalen Margrave,Sor'thaz,Kingdom of Sor'thaz,Aj'Snaga,Norwickism,3851,210.8,411.78,3.04,-52.66,52,102°F,Mecca,,,,walls,,,,{t1:vert;ordinaries:[{ordinary:fess;t:argent;line:invecked}];charges:[{charge:deerHeadCaboshed;t:vert;p:def;size:0.5}];shield:fantasy1},https://watabou.github.io/city-generator/?name=Skej%27jess&population=3851&size=22&seed=8194174370070&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1
71,Nij'asse,Sez'jash,Sez'jash Captaincy,Sor'thaz,Kingdom of Sor'thaz,Aj'Snaga,Norwickism,13283,1.42,469.04,-1.75,-70.18,210,102°F,Mecca,,,,walls,plaza,,,{t1:sable;ordinaries:[{ordinary:pale;t:or;line:straight}];charges:[{charge:crossBurgundy;t:sable;p:beh;size:0.5}];shield:fantasy1},https://watabou.github.io/city-generator/?name=Nij%27asse&population=13283&size=34&seed=8194174370071&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
72,Eshrashju,Par'has,Par'has County,Sor'thaz,Kingdom of Sor'thaz,Aj'Snaga,Norwickism,6682,96.24,488.42,-3.37,-62.25,161,102°F,Mecca,,,citadel,,,,,{t1:gules;ordinaries:[{ordinary:bordure;t:argent}];charges:[{charge:crescent;t:argent;p:e;size:1.1}];shield:fantasy1},https://watabou.github.io/city-generator/?name=Eshrashju&population=6682&size=27&seed=8194174370072&river=1&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
73,Dymock,Guild,Guild Landgrave,Knutsdonia,Grand Duchy of Knutsdonia,Westen,Norwickism,1510,191.46,497.58,-4.14,-54.28,52,102°F,Mecca,,,citadel,,,,,{t1:lozengy-or-azure;charges:[{charge:crescent;t:gules;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Dymock&population=1510&size=15&seed=8194174370073&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
74,Brampound,Merden,Merden County,Knutsdonia,Grand Duchy of Knutsdonia,Westen,Norwickism,3852,166.18,554.79,-8.93,-56.39,397,99°F,Mecca,,,,,plaza,,,{t1:gules;ordinaries:[{ordinary:bend;t:or;line:wavy}];charges:[{charge:attire;t:azure;p:jo;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Brampound&population=3852&size=22&seed=8194174370074&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
75,Boscom,Watford,Watford Island,Knutsdonia,Grand Duchy of Knutsdonia,Westen,Norwickism,18373,238.7,513.5,-5.47,-50.32,13,102°F,Mecca,,,citadel,walls,plaza,,,{t1:argent;charges:[{charge:rose;t:azure;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Boscom&population=18373&size=39&seed=8194174370075&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
76,Fokerid,Fokerid,Fokerid Parish,Seavedonia,Holy State of Seavedonia,Westen,Norwickism,31766,890.63,627.16,-14.99,4.24,13,99°F,Mecca,,,citadel,walls,plaza,temple,shanty town,{t1:sable;ordinaries:[{ordinary:bordure;t:or}];charges:[{charge:cancer;t:azure;p:ABCDEFGHIJKL;size:0.18}];shield:heater},https://watabou.github.io/city-generator/?name=Fokerid&population=31766&size=48&seed=8194174370076&river=0&coast=0&farms=0&citadel=1&urban_castle=1&hub=false&plaza=1&temple=1&walls=1&shantytown=1&gates=-1
77,Aberkendowi,Abertahia,Abertahia Earldom,Afespia,Kingdom of Afespia,Keltan,Norwickism,9457,271.89,130.45,26.58,-47.55,30,84°F,Aden,,,,,plaza,,,{t1:vert;division:{division:perFess;t:argent;line:nebuly};charges:[{charge:bowWithArrow;t:or;p:k;size:0.7};{charge:crossFourchy;t:azure;p:n;size:0.7}];shield:vesicaPiscis},https://watabou.github.io/city-generator/?name=Aberkendowi&population=9457&size=30&seed=8194174370077&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
78,Aberden,Ceven,Ceven Margrave,Afespia,Kingdom of Afespia,Keltan,Norwickism,7440,34.72,230.11,18.24,-67.39,2051,88°F,Mecca,,,citadel,,,,,{t1:argent;charges:[{charge:mullet;t:azure;p:abc;size:0.5}];shield:vesicaPiscis},https://watabou.github.io/city-generator/?name=Aberden&population=7440&size=28&seed=8194174370078&river=0&coast=0&farms=0&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
79,Retford,Chistone,Chistone County,Chawburia,Duchy of Chawburia,Westen,Norwickism,2360,251.83,473.82,-2.15,-49.22,13,102°F,Mecca,,,,,,,,{t1:argent;charges:[{charge:arrowsSheaf;t:sable;p:jln;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Retford&population=2360&size=18&seed=8194174370079&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
80,Rothfield,Sealis,Sealis Shire,Comburghia,Kingdom of Comburghia,Westen,Norwickism,6595,249.55,583.12,-11.3,-49.42,118,100°F,Mecca,,,citadel,,,,,{t1:azure;charges:[{charge:attire;t:or;p:jln;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Rothfield&population=6595&size=26&seed=8194174370080&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
81,Ma'han,Rraj'hass,Rraj'hass Captaincy,Sor'thaz,Kingdom of Sor'thaz,Aj'Snaga,Norwickism,1470,103.06,400.74,3.96,-61.67,82,102°F,Mecca,,,citadel,,plaza,,,{t1:sable;charges:[{charge:attire;t:argent;p:e;size:1.5}];shield:fantasy1},https://watabou.github.io/city-generator/?name=Ma%27han&population=1470&size=15&seed=8194174370081&river=0&coast=0&farms=0&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
82,Thetford,Thetford,Thetford Earldom,Comburghia,Kingdom of Comburghia,Westen,Norwickism,11713,260.56,559.8,-9.35,-48.49,82,100°F,Mecca,,,,walls,plaza,,,{t1:azure;charges:[{charge:key;t:or;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Thetford&population=11713&size=33&seed=8194174370082&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
83,Newboresey,Waltonbury,Waltonbury County,Waria,Warian Empire,Westen,Norwickism,1069,511.93,648.04,-16.73,-27.46,13,99°F,Mecca,,,,walls,,,,{t1:or;division:{division:perCross;t:azure;line:potenty};ordinaries:[{ordinary:piles;t:sable}];shield:heater},https://watabou.github.io/city-generator/?name=Newboresey&population=1069&size=13&seed=8194174370083&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1
84,Felton,Cocheaplia,Cocheaplia Parish,Withamberia,Diocese of Withamberia,Kentian,Norwickism,7826,315.35,341.8,8.9,-43.91,52,100°F,Mecca,,,,,,temple,,{t1:azure;charges:[{charge:crossHummetty;t:or;p:abc;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Felton&population=7826&size=28&seed=8194174370084&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=1&walls=0&shantytown=0&gates=-1
85,Anveguro,Anveguro,Anveguro Margrave,Sor'thaz,Kingdom of Sor'thaz,Keltan,Norwickism,8487,8.07,401.54,3.9,-69.62,82,102°F,Mecca,,,,walls,,,,{t1:bendy-or-gules;ordinaries:[{ordinary:terrace;t:azure;line:straight}];shield:vesicaPiscis},https://watabou.github.io/city-generator/?name=Anveguro&population=8487&size=29&seed=8194174370085&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1
86,Axbroline,Skalen,Skalen Margrave,Sor'thaz,Kingdom of Sor'thaz,Kentian,Norwickism,1538,226.33,437.9,0.85,-51.36,82,102°F,Mecca,,,,,,,,{t1:argent;charges:[{charge:mullet;t:gules;p:e;size:1.5}];shield:heater},https://watabou.github.io/village-generator/?pop=1538&name=&seed=8194174370086&width=1600&height=727&tags=dead+end%2Cno+orchards%2Cno+square%2Cdense
87,Kirmouth,Kirmouth,Kirmouth County,Comburghia,Kingdom of Comburghia,Westen,Norwickism,9999,294.5,638,-15.89,-45.65,30,99°F,Mecca,,port,,,,,,{t1:or;charges:[{charge:arrow;t:gules;p:jln;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Kirmouth&population=9999&size=31&seed=8194174370087&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&sea=1.3
88,Wiverton,Nelia,Nelia County,Waria,Warian Empire,Westen,Norwickism,1367,433.09,665.98,-18.23,-34.05,13,99°F,Mecca,,,,,plaza,,,{t1:or;ordinaries:[{ordinary:fess;t:azure;line:engrailed}];charges:[{charge:boat2;t:or;p:def;size:0.5}];shield:heater},https://watabou.github.io/village-generator/?pop=1367&name=&seed=8194174370088&width=1400&height=636&tags=highway%2Cuncultivated%2Cno+orchards%2Cdense
89,Presterham,Chistone,Chistone County,Chawburia,Duchy of Chawburia,Kentian,Norwickism,8275,226.8,463,-1.25,-51.32,13,102°F,Mecca,,,citadel,,,,,{t1:argent;division:{division:perPale;t:fusily-or-gules;line:straight};ordinaries:[{ordinary:cross;t:azure;line:straight}];shield:heater},https://watabou.github.io/city-generator/?name=Presterham&population=8275&size=29&seed=8194174370089&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
90,Holton,New Winchbridia,New Winchbridia Colony,Seavedonia,Holy State of Seavedonia,Westen,Westen Beliefs,5929,911.9,472.79,-2.07,6.02,13,102°F,Mecca,,,,walls,,temple,,{t1:argent;charges:[{charge:eagle;t:sable;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Holton&population=5929&size=25&seed=8194174370090&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=false&plaza=0&temple=1&walls=1&shantytown=0&gates=-1
91,Fivesoliton,Fivesoliton,Fivesoliton Margrave,Swasings,Principality of Swasings,Westen,Norwickism,21737,962.93,632.24,-15.41,10.29,30,99°F,Mecca,,,citadel,walls,,,,{t1:argent;ordinaries:[{ordinary:chevronReversed;t:gules}];charges:[{charge:tower;t:gules;p:b;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Fivesoliton&population=21737&size=42&seed=8194174370091&river=0&coast=0&farms=0&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1
92,Beirairkunos,Aberviefenia,Aberviefenia County,Afespia,Kingdom of Afespia,Keltan,Norwickism,13109,58.96,231.88,18.09,-65.37,2218,88°F,Mecca,,,,,plaza,,,{t1:or;charges:[{charge:mallet;t:gules;p:jlh;size:0.7}];shield:vesicaPiscis},https://watabou.github.io/city-generator/?name=Beirairkunos&population=13109&size=34&seed=8194174370092&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
93,Sruss'ji,Sruss'ji,Sruss'ji Captaincy,Sor'thaz,Kingdom of Sor'thaz,Aj'Snaga,Norwickism,8398,141.11,534.22,-7.21,-58.49,82,100°F,Mecca,,,citadel,,,,,{t1:or;charges:[{charge:tower;t:gules;p:e;size:1.5}];shield:fantasy1},https://watabou.github.io/city-generator/?name=Sruss%27ji&population=8398&size=29&seed=8194174370093&river=1&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
94,Uigaigwaun,Abercarnvia,Abercarnvia Earldom,Afespia,Kingdom of Afespia,Keltan,Norwickism,1127,282.5,166.8,23.54,-46.66,52,88°F,Mecca,,,citadel,,,,,{t1:azure;charges:[{charge:mastiffStatant;t:or;p:jln;size:0.7}];shield:vesicaPiscis},https://watabou.github.io/city-generator/?name=Uigaigwaun&population=1127&size=14&seed=8194174370094&river=0&coast=0&farms=0&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
95,Brover,Bridle,Bridle Margrave,Milcesia,Duchy of Milcesia,Kentian,Norwickism,7712,205.09,292.78,13,-53.14,118,100°F,Mecca,,,,walls,,,,{t1:ermine-argent-sable;division:{division:perPale;t:azure;line:straight};ordinaries:[{ordinary:terrace;t:vert;line:straight}];shield:heater},https://watabou.github.io/city-generator/?name=Brover&population=7712&size=28&seed=8194174370095&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1
96,Coliver,Wargton,Wargton Parish,Seavedonia,Holy State of Seavedonia,Nortumbic,Nortumbic Beliefs,2778,1117.2,585.7,-11.52,23.2,52,100°F,Mecca,,,citadel,,,temple,,{t1:or;charges:[{charge:cancer;t:gules;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Coliver&population=2778&size=19&seed=8194174370096&river=0&coast=0&farms=0&citadel=1&urban_castle=1&hub=false&plaza=0&temple=1&walls=0&shantytown=0&gates=-1
